,Title,Tags
0,Underworld: Blood Wars,"vampir death dealer selen fend off brutal attack from both the lycan clan and the vampir faction that betray her. with her onli allies, david and hi father thomas, she must stop the etern war between lycan and vampires, even if it mean she ha to make the ultim sacrifice. fantasi action thriller kate beckinsal theo jame lara pulver anna foerster"
1,Arsenal,"after the deadbeat brother of a businessman is assum to be in on hi own kidnapping, hi sibl must take action to rescu him. action crime thriller adrian grenier johnathon schaech nicola cage steven c. miller"
2,Between Us,"strand after a tragic plane crash, two stranger must forg a connect to surviv the extrem element of a remot snow cover mountain. when they realiz help is not coming, they embark on a peril journey across the wilderness. romanc adventur drama olivia thirlbi ben feldman adam goldberg rafael palacio illingworth"
3,Monster Trucks,"tripp is a high school senior with a knack for build truck who make an incred discoveri - a gas-guzzl creatur name creech. to protect hi mischiev new friend, tripp hide creech under the hood of hi latest creation, turn it into a real-lif super-pow monster truck. together, thi unlik duo with a share tast for speed team up on a wild and unforgett journey to reunit creech with hi family. action comedi scienc fiction luca till jane levi ami ryan chri wedg"
4,The Bye Bye Man,"when three colleg student move into an old hous off campus, they unwittingli unleash a supernatur entiti known as the bye bye man, who come to prey upon them onc they discov hi name. the friend must tri to save each other, all the while keep the bye bye man' exist a secret to save other from the same deadli fate. horror thriller dougla smith doug jone michael trucco staci titl"
5,Sleepless,"undercov la vega polic offic vincent downs, who ha got a lot of enemies, is caught in a high stake web of corrupt cop and the mob-control casino underground. when a heist goe wrong, a crew of homicid gangster get t, downs’ teenag son. in one sleepless night, he will have to rescu hi son t (who they got), evad an intern affair investig and bring the kidnapp to justice. action crime thriller jami foxx dermot mulroney tip ""t.i."" harri baran bo odar"
6,100 Streets,"three people, three extraordinari stories. all live out within a hundr london streets. drama idri elba gemma arterton charli creed-mil jim o'hanlon"
7,The Book of Love,"ten year after the first american pie movie, three new hapless virgin discov the bibl hidden in the school librari at east great fall high. unfortun for them, the book is ruined, and with incomplet advice, the bibl lead them on a hilari journey to lose their virginity. comedi jason sudeiki jessica biel maisi william bill purpl"
8,Split,"though kevin ha evidenc 23 person to hi trust psychiatrist, dr. fletcher, there remain one still submerg who is set to materi and domin all the others. compel to abduct three teenag girl led by the willful, observ casey, kevin reach a war for surviv among all of those contain within him — as well as everyon around him — as the wall between hi compart shatter apart. horror thriller jame mcavoy anya taylor-joy betti buckley m. night shyamalan"
9,XXX: Return of Xander Cage,"extrem athlet turn govern oper xander cage come out of self-impos exile, thought to be long dead, and is set on a collis cours with deadli alpha warrior xiang and hi team in a race to recov a sinist and seemingli unstopp weapon known as pandora' box. recruit an all-new group of thrill-seek cohorts, xander find himself enmesh in a deadli conspiraci that point to collus at the highest level of world governments. action adventur crime vin diesel samuel l. jackson donni yen d. j. caruso"
10,The Resurrection of Gavin Stone,"gavin stone, a washed-up former child star, is forc to do commun servic at a local megachurch and pretend to be christian so he can land the part of jesu in their annual passion play, onli to discov that the most import role of hi life is far from hollywood. comedi drama brett dalton anjelah johnson neil flynn dalla jenkin"
11,Trespass Against Us,"three gener of the rowdi cutler famili live as outlaw in some of britain' richest countrysid – hunt hares, ram-raid state homes, and taunt the police. struggl to retain a way of life fast becom extinct, chad cutler end up caught between hi father' archaic principl and tri to do right by hi kids, whilst the full forc of the law is final catch up with him. action crime drama michael fassbend brendan gleeson lyndsey marshal adam smith"
12,Sophie and the Rising Sun,"in a small southern town in the autumn of 1941, sophie’ lone life is transform when an asian man arriv under mysteri circumstances. their love affair becom the lightn rod for long-buri conflict that erupt in bigotri and violenc with the outbreak of world war ll. drama juliann nicholson margo martindal lorrain toussaint maggi greenwald"
13,A Dog's Purpose,a dog goe on quest to discov hi purpos in life over the cours of sever lifetim with multipl owners. comedi drama famili fantasi adventur britt robertson denni quaid josh gad lass hallström
14,Resident Evil: The Final Chapter,"pick up immedi after the event in resid evil: retribution, alic is the onli survivor of what wa meant to be humanity' final stand against the undead. now, she must return to where the nightmar began - the hive in raccoon city, where the umbrella corpor is gather it forc for a final strike against the onli remain survivor of the apocalypse. action horror scienc fiction milla jovovich ali larter shawn robert paul w. s. anderson"
15,Lost in Florence,"eric lazard is a heartbroken former colleg footbal star who get involv in a danger florentin sport and a local woman, stephanie, while visit hi cousin anna, who live in itali and teach the italian languag to foreigners. adventur drama romanc brett dalton stana katic alessandra mastronardi evan oppenheim"
16,I Am Michael,the controversi true stori of a gay activist who reject hi homosexu and becom a christian pastor. drama jame franco zachari quinto emma robert justin kelli
17,iBoy,"after an accident, tom wake from a coma to discov that fragment of hi smart phone have been embed in hi head, and worse, that return to normal teenag life is imposs becaus he ha develop a strang set of super powers. action crime scienc fiction bill milner maisi william miranda richardson adam randal"
18,Rings,"julia becom worri about her boyfriend, holt when he explor the dark urban legend of a mysteri videotap said to kill the watcher seven day after viewing. she sacrific herself to save her boyfriend and in do so make a horrifi discovery: there is a ""movi within the movie"" that no one ha ever seen before. horror matilda lutz alex roe johnni galecki f. javier gutiérrez"
19,The Space Between Us,a young man rais by scientist on mar return to earth to find hi father. romanc adventur scienc fiction drama asa butterfield britt robertson gari oldman peter chelsom
20,Youth in Oregon,"a man is task with drive hi embitt 80-year-old father-in-law cross countri to be legal euthan in oregon, while along the way help him rediscov a reason for living. comedi drama frank langella billi crudup christina appleg joel david moor"
21,I Am Not Your Negro,"work from the text of jame baldwin’ unfinish final novel, director raoul peck creat a medit on what it mean to be black in the unit states. documentari samuel l. jackson raoul peck"
22,Growing Up Smith,"in 1979, an indian famili move to america with hope of live the american dream. while their 10-year-old boy smith fall head-over-heel for the girl next door, hi desir to becom a ""good old boy"" propel him further away from hi family' ideal than ever before. comedi famili drama jason lee anjul nigam brighton sharbino frank lotito"
23,The Lego Batman Movie,"a cooler-than-ev bruce wayn must deal with the usual suspect as they plan to rule gotham city, while discov that he ha accident adopt a teenag orphan who wish to becom hi sidekick. famili action anim comedi fantasi will arnett zach galifianaki michael cera chri mckay"
24,Fifty Shades Darker,"when a wound christian grey tri to entic a cautiou ana steel back into hi life, she demand a new arrang befor she will give him anoth chance. as the two begin to build trust and find stability, shadowi figur from christian’ past start to circl the couple, determin to destroy their hope for a futur together. drama romanc dakota johnson jami dornan kim basing jame foley"
25,John Wick: Chapter 2,"john wick is forc out of retir by a former associ look to seiz control of a shadowi intern assassins’ guild. bound by a blood oath to aid him, wick travel to rome and doe battl against some of the world’ most danger killers. thriller action crime keanu reev common bridget moynahan chad stahelski"
26,Bornless Ones,"with the help of her friends, emili move to a remot home to take better care of her brother, zack who is diagnos with cerebr palsy. but what they don't know is that the hous is keep a terrifi secret that will haunt them one by one. horror mysteri thriller michael johnston margaret judson bobbi t alexand babaev"
27,The Great Wall,european mercenari search for black powder becom embroil in the defens of the great wall of china against a hord of monstrou creatures. action adventur fantasi matt damon jing tian pedro pascal zhang yimou
